O,N,B,S,P,Specific surface area,Pore volume,Active mass loading,Potential window,micro%,Current collector,Electrolyte,Current density,Dap,ID/IG
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.5
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.5454545454545454
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.5909090909090909
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.6363636363636364
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.6818181818181819
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.7272727272727273
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.7727272727272727
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.8181818181818181
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.8636363636363636
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.9090909090909092
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,0.9545454545454546
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.0
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.0454545454545454
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.0909090909090908
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.1363636363636362
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.1818181818181819
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.2272727272727273
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.2727272727272727
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.3181818181818183
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.3636363636363638
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.4090909090909092
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.4545454545454546
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.5
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.5454545454545454
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.5909090909090908
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.6363636363636365
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.6818181818181819
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.7272727272727273
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.7727272727272727
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.8181818181818181
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.8636363636363638
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.9090909090909092
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,1.9545454545454546
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.0
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.0454545454545454
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.090909090909091
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.1363636363636367
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.1818181818181817
8.06,2.44,0.0,0.0,0.0,1667.33,1.2,1.5,1.6,0.481865,stainless-steel mesh,2M ZnSO4,0.2,1.0,2.2272727272727275
