O,N,B,S,P,Specific surface area,Pore volume,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity,micro%
7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,1.488390143,1.029,2M ZnSO4,carbon cloth,1.0,1.6,0.1,85.0,0.939857466
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,1.555961071,1.038,2M ZnSO4,carbon cloth,1.0,1.6,0.1,114.0,0.931391712
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,70.3,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,64.8,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,51.5,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,38.5,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,23.3,0.209302326
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4,0.205882353
