O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
7.15,3.52,1546.1,0.5753,1.488390143,1.029,0.1,85.0,0.939857466
8.12,3.79,1315.2,0.5116,1.555961071,1.038,0.1,114.0,0.931391712
21.55,3.29,1140.8,0.86,3.01542777,0.82,0.1,90.2,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,0.25,86.3,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,0.5,79.9,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,1.0,70.3,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,2.0,64.8,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,5.0,51.5,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,10.0,38.5,0.209302326
21.55,3.29,1140.8,0.86,3.01542777,0.82,20.0,23.3,0.209302326
17.66,3.01,508.0,0.34,2.677165354,0.86,0.1,69.1,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,0.25,60.1,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,0.5,56.4,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,1.0,47.4,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,2.0,40.9,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,5.0,34.2,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,10.0,19.8,0.205882353
17.66,3.01,508.0,0.34,2.677165354,0.86,20.0,9.5,0.205882353
16.08,2.82,1384.7,0.97,2.802050986,0.89,0.1,136.3,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,0.25,126.4,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,0.5,120.3,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,1.0,112.6,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,2.0,108.4,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,5.0,100.4,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,10.0,94.5,0.154639175
16.08,2.82,1384.7,0.97,2.802050986,0.89,20.0,86.5,0.154639175
8.2,5.3,879.0,0.447,2.034129693,2.27,0.1,136.8,0.606263982
8.2,5.3,879.0,0.447,2.034129693,2.27,0.5,110.9,0.606263982
8.2,5.3,879.0,0.447,2.034129693,2.27,1.0,102.6,0.606263982
8.2,5.3,879.0,0.447,2.034129693,2.27,5.0,76.1,0.606263982
8.2,5.3,879.0,0.447,2.034129693,2.27,10.0,66.5,0.606263982
5.68,1.49,1640.1,1.41,3.438814706,0.95,0.05,109.66,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,0.1,93.3,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,0.2,84.6,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,0.3,81.0,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,0.5,76.3,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,1.0,71.6,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,2.0,67.6,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,3.0,65.1,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,5.0,62.4,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,10.0,59.5,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,15.0,58.4,0.326241135
5.68,1.49,1640.1,1.41,3.438814706,0.95,20.0,57.1,0.326241135
11.5,6.7,642.0,1.03,6.417445483,0.964,0.1,133.7,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,0.2,102.5,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,0.5,84.3,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,1.0,75.0,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,2.0,69.1,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,5.0,61.7,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,10.0,56.6,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,20.0,51.9,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,50.0,45.6,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,100.0,39.7,0.145631068
11.5,6.7,642.0,1.03,6.417445483,0.964,200.0,30.6,0.145631068
14.9,3.1,620.0,0.86,5.548387097,0.962,0.1,104.4,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,0.2,83.0,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,0.5,69.7,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,1.0,61.7,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,2.0,56.0,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,5.0,50.4,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,10.0,46.6,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,20.0,43.7,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,50.0,39.1,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,100.0,35.4,0.151162791
14.9,3.1,620.0,0.86,5.548387097,0.962,200.0,30.4,0.151162791
11.2,4.2,697.0,0.83,4.763271162,0.958,0.1,92.4,0.21686747
11.2,4.2,697.0,0.83,4.763271162,0.958,0.2,73.1,0.21686747
11.2,4.2,697.0,0.83,4.763271162,0.958,0.5,62.4,0.21686747
