O,N,B,S,P,SSA,Smicro,Smeso,Smicro/SSA,Vt,Vmicro,Vmeso,Vmeso/Vt,Dap,ID/IG,Electrolyte,Current density,Specific capacity
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,0.1,90.2
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,0.25,86.3
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,0.5,79.9
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,1,70.3
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,2,64.8
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,5,51.5
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,10,38.5
21.55,3.29,0,0,0,1140.8,341.3,799.5,0.299176017,0.86,0.18,0.68,0.790697674,3.01542777,0.82,1M Zn(CF3SO3)2,20,23.3
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,0.1,69.1
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,0.25,60.1
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,0.5,56.4
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,1,47.4
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,2,40.9
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,5,34.2
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,10,19.8
17.66,3.01,0,1.12,0,508,142.7,365.3,0.280905512,0.34,0.07,0.27,0.794117647,2.677165354,0.86,1M Zn(CF3SO3)2,20,9.5
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,0.1,136.3
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,0.25,126.4
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,0.5,120.3
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,1,112.6
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,2,108.4
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,5,100.4
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,10,94.5
16.08,2.82,0,1.78,0,1384.7,293.3,1091.4,0.211814834,0.97,0.15,0.82,0.845360825,2.802050986,0.89,1M Zn(CF3SO3)2,20,86.5
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,0.05,109.66
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,0.1,93.3
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,0.2,84.6
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,0.3,81
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,0.5,76.3
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,1,71.6
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,2,67.6
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,3,65.1
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,5,62.4
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,10,59.5
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,15,58.4
5.68,1.49,0,0,0,1640.1,860.5,779.6,0.52466313,1.41,0.46,0.94,0.666666667,3.438814706,0.95,2M ZnSO4,20,57.1
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,0.1,204.7
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,0.2,181.5
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,0.5,165.9
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,1,152.7
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,2,141.1
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,5,134.2
12.04,8.29,0,0,0,1530.9,764.4,766.5,0.499314129,0.96,0.37,0.59,0.614583333,2.508328434,0.86,1M Zn(CF3SO3)2,10,128.6
5.5,2.53,0,0,0,947,506,441,0.534318902,0.54,0.27,0.27,0.5,2.280887012,0.855,1M ZnSO4,0.5,117.9
5.5,2.53,0,0,0,947,506,441,0.534318902,0.54,0.27,0.27,0.5,2.280887012,0.855,1M ZnSO4,20,71
3.67,0,0,0,2.71,1175,793,382,0.674893617,0.71,0.41,0.3,0.422535211,2.417021277,0.858,1M ZnSO4,0.5,136.2
3.67,0,0,0,2.71,1175,793,382,0.674893617,0.71,0.41,0.3,0.422535211,2.417021277,0.858,1M ZnSO4,20,75.9
10.41,2.37,0,0,2.1,899,358,541,0.398220245,0.52,0.19,0.33,0.634615385,2.313681869,0.856,1M ZnSO4,0.5,165.9
10.41,2.37,0,0,2.1,899,358,541,0.398220245,0.52,0.19,0.33,0.634615385,2.313681869,0.856,1M ZnSO4,20,110.9
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,0.1,119.9
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,0.2,108.3
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,0.5,100.2
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,1,94.6
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,2,90.4
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,5,84.8
9.64,3.44,0,0,0,1624,1125,499,0.69273399,0.918,0.599,0.319,0.347494553,2.261083744,0.999,1M ZnSO4,20,81.1
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,0.1,159.9
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,0.2,139.2
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,0.5,124.8
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,1,116
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,2,109.9
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,5,101.9
8.42,1.64,0,0,0,1949,961,988,0.493073371,1.133,0.519,0.614,0.541924095,2.325295023,0.917,1M ZnSO4,20,94
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,0.1,114.2
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,0.2,104.8
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,0.5,95.6
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,1,90
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,2,86.8
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,5,82.4
5.52,0.89,0,0,0,2276,480,1796,0.210896309,1.331,0.279,1.052,0.790383171,2.339191564,0.872,1M ZnSO4,20,78.5
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,0.2,104.9
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,0.5,91
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,1,84.9
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,2,78.2
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,3,74.2
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,4,70.8
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,5,68.5
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,10,60.3
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,15,56.5
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,20,52.1
4.81,1.09,0,0,0,972.4,222.7,749.7,0.229020979,1.67,0.29,1.38,0.826347305,6.869600987,0.82,2M ZnSO4,30,44.8
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,0.2,132.9
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,0.5,114.4
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,1,108.9
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,2,99.4
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,3,95.6
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,4,91.1
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,5,89.9
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,10,83.3
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,15,80.8
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,20,76.6
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,30,73.3
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,40,68.8
4.89,1.74,0,0,0,1666.8,178.1,1488.7,0.106851452,2.42,0.29,2.13,0.880165289,5.807535397,0.88,2M ZnSO4,50,65.2
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,0.2,67.8
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,0.5,59.8
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,1,56.8
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,2,53.2
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,3,51.7
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,4,49.9
6.42,2.75,0,0,0,1301.6,126.5,1175.1,0.097188076,3.04,0.21,2.83,0.930921053,9.34234788,0.92,2M ZnSO4,5,49.2
