O,N,B,S,P,Specific surface area,Smicro,Smeso,Pore volume,Vmicro,Vmeso,Rmic/mes,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
7.15,3.52,0.0,0.0,0.0,1546.1,,,0.5753,0.5407,0.03714,14.558,1.4883901429403,1.029,2M ZnSO4,Carbon cloth,1.0,1.6,0.1,85.0
8.12,3.79,3.66,0.0,0.0,1315.2,,,0.5116,0.4765,0.05106,9.33,1.55596107055961,1.038,2M ZnSO4,Carbon cloth,1.0,1.6,0.1,114.0
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,70.3
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,64.8
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,51.5
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,38.5
21.55,3.29,0.0,0.0,0.0,1140.8,341.3,,0.86,0.18,,0.157,3.01542776998597,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,23.3
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,47.4
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,40.9
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,34.2
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,19.8
17.66,3.01,0.0,1.12,0.0,508.0,142.7,,0.34,0.07,,0.099,2.67716535433071,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,9.5
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,136.3
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,126.4
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,120.3
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,112.6
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,108.4
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,100.4
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,94.5
16.08,2.82,0.0,1.78,0.0,1384.7,293.3,,0.97,0.15,,0.17,2.80205098577309,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,86.5
8.2,5.3,0.0,0.0,0.0,879.0,,,0.447,0.271,0.176,1.54,2.03412969283276,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.1,136.8
8.2,5.3,0.0,0.0,0.0,879.0,,,0.447,0.271,0.176,1.54,2.03412969283276,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.5,110.9
8.2,5.3,0.0,0.0,0.0,879.0,,,0.447,0.271,0.176,1.54,2.03412969283276,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,1.0,102.6
8.2,5.3,0.0,0.0,0.0,879.0,,,0.447,0.271,0.176,1.54,2.03412969283276,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,5.0,76.1
8.2,5.3,0.0,0.0,0.0,879.0,,,0.447,0.271,0.176,1.54,2.03412969283276,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,10.0,66.5
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.05,109.66
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.1,93.3
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.2,84.6
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.3,81.0
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,0.5,76.3
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,1.0,71.6
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,2.0,67.6
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,3.0,65.1
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,5.0,62.4
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,10.0,59.5
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,15.0,58.4
5.68,1.49,0.0,0.0,0.0,1640.1,860.5,,1.41,0.46,0.94,0.489,3.43881470642034,0.95,2M ZnSO4,Nickel foam,2.0,1.6,20.0,57.1
